method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
deflation_varimax_random,gaussian_rotated,2,1000,0.05,0,0.2285234267154826,0.010564088821411133,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,1,0.33124116480932286,0.008990764617919922,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,2,0.04730364846018385,0.010651826858520508,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,3,0.2837445636614995,0.006842136383056641,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,4,0.00010673999482712978,0.007453203201293945,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,5,0.338502875559949,0.0076580047607421875,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,6,0.19391393011574076,0.007693052291870117,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,7,0.011620943692681717,0.008498191833496094,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,8,0.00027851529111183804,0.005529880523681641,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,2,1000,0.05,9,0.3810869239378938,0.0072269439697265625,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,0,0.4193154907454353,0.015461921691894531,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,1,0.39728285264161667,0.017956018447875977,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,2,0.5377999862106606,0.01582789421081543,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,3,0.4848220888410627,0.02060103416442871,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,4,0.3878443842517462,0.017796993255615234,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,5,0.7577002316995202,0.01739215850830078,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,6,0.666663256373436,0.017719030380249023,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,7,0.5844154080632692,0.01664113998413086,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,8,0.4934172549194125,0.015231847763061523,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,5,1000,0.05,9,0.5656039294559561,0.015051126480102539,True,random,,,,Deflation algorithm (non-pymanopt)
