method,dimension,noise_level,trial,frame_error,runtime,success,gradient_norm,iterations,step_size,stopping_criterion
deflation_varimax_random,5,0.01,0,0.03305901488650675,0.018719911575317383,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,1,0.13125667773736435,0.019912004470825195,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,2,0.05903514731886879,0.01242971420288086,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,3,0.42202846442574815,0.01641392707824707,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,4,0.07027542106242031,0.013794898986816406,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,5,0.17759502302815983,0.01659107208251953,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,6,0.4087604160721706,0.016445159912109375,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,7,0.01705190336076191,0.018415212631225586,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,8,0.06793558116477892,0.01921391487121582,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.01,9,0.0966420205294155,0.014246225357055664,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,0,0.12258528335972876,0.01713109016418457,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,1,0.23166821378353708,0.011548995971679688,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,2,0.19535319962108194,0.011816024780273438,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,3,0.5404709383413079,0.012025833129882812,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,4,0.22739609106049885,0.01124882698059082,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,5,0.4659370584158564,0.011001110076904297,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,6,0.36206950007255345,0.011822938919067383,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,7,0.062333230969472665,0.011506080627441406,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,8,0.1835807116208269,0.011517047882080078,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.05,9,0.21869282762630243,0.01001119613647461,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,0,0.22198936974147482,0.012163162231445312,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,1,0.27127980321377776,0.011089086532592773,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,2,0.27900585605463346,0.011857271194458008,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,3,0.6245816576929096,0.009909868240356445,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,4,0.373380436616641,0.01023721694946289,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,5,0.377626684713542,0.010722160339355469,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,6,0.1869366908321932,0.012526273727416992,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,7,0.10422097714182196,0.010959863662719727,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,8,0.2524838335864457,0.010518074035644531,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.1,9,0.33420265088270573,0.010399103164672852,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,0,0.40087501747449306,0.011398792266845703,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,1,0.39639703842160445,0.01043701171875,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,2,0.42348089054931376,0.009829282760620117,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,3,0.4753802696628555,0.010190010070800781,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,4,0.2937192634386326,0.009377002716064453,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,5,0.5223410340525294,0.010873794555664062,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,6,0.3532008228768807,0.012491941452026367,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,7,0.16911017587060606,0.011375188827514648,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,8,0.38270104242563674,0.010828018188476562,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.2,9,0.40566036249673376,0.010535955429077148,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,0,0.5813086259915113,0.01164698600769043,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,1,0.5552643497479804,0.011482715606689453,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,2,0.43510042550779904,0.008754968643188477,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,3,0.44206842392839746,0.010566949844360352,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,4,0.4109602801586843,0.010081052780151367,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,5,0.5191031813476046,0.011374711990356445,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,6,0.3536762014052711,0.010139942169189453,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,7,0.2310290471433695,0.009483098983764648,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,8,0.5302735061634607,0.010460853576660156,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,5,0.3,9,0.42935646027246055,0.011207818984985352,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,0,0.059593909742330545,0.10254693031311035,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,1,0.02111314528145087,0.4967789649963379,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,2,0.04768286349729834,0.27747011184692383,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,3,0.11082955581852176,0.6906929016113281,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,4,0.04575035066112527,0.05178713798522949,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,5,0.16487027075762367,0.039386749267578125,True,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,10,0.01,6,0.05338605527216317,0.03584694862365723,True,,,,Deflation algorithm (non-pymanopt)
