data_type,n_points,dimension,iteration,cost,error,normalized_error
exponential,5000,75,1,1.0345944560440783,87.44834065722628,1.1659778754296835
exponential,5000,75,2,0.9994546313886792,78.58347442451262,1.0477796589935013
exponential,5000,75,3,0.8853105443224324,47.5472006336162,0.6339626751148826
exponential,5000,75,4,0.8539142964563022,43.125054587795695,0.5750007278372758
exponential,5000,75,5,0.7962668981139991,19.14012274646444,0.2552016366195258
exponential,5000,75,6,0.7821613718027091,24.988167264487736,0.33317556352650307
exponential,5000,75,7,0.77773877111317,24.615348085721358,0.3282046411429514
exponential,5000,75,8,0.7758753459880694,26.549476308038606,0.3539930174405147
exponential,5000,75,9,0.7745544143023513,24.107882876790498,0.3214384383572066
exponential,5000,75,10,0.7726592352403403,26.319785873653565,0.3509304783153808
exponential,5000,75,11,0.7718527559807304,25.20845478782154,0.33611273050428714
exponential,5000,75,12,0.7714728633019322,26.03596980615152,0.3471462640820202
exponential,5000,75,13,0.7714132962622963,25.827400529407196,0.3443653403920959
exponential,5000,75,14,0.7714093296310607,26.062117629968963,0.3474949017329194
exponential,5000,75,15,0.7714092676581675,26.062099277150498,0.3474946570286732
exponential,5000,75,16,0.7714092637848842,26.062098130447247,0.34749464173929656
exponential,5000,75,17,0.771409261848248,26.062097557108473,0.3474946340947796
exponential,5000,75,18,0.7714092608799314,26.062097270442287,0.3474946302725638
exponential,5000,75,19,0.7714092603957734,26.062097127110015,0.3474946283614668
exponential,5000,75,20,0.7714092601536945,26.06209705544406,0.34749462740592074
exponential,5000,75,21,0.7714092600931748,26.062097037527597,0.34749462716703455
exponential,5000,75,22,0.771409260062915,26.062097028569372,0.34749462704759154
exponential,5000,75,23,0.7714092600477851,26.06209702409027,0.3474946269878702
exponential,5000,75,24,0.7714092600440027,26.062097022970487,0.34749462697293976
exponential,5000,75,25,0.7714092600437661,26.06209702290051,0.3474946269720067
exponential,5000,75,26,0.771409260043648,26.062097022865487,0.34749462697153977
exponential,5000,75,27,0.7714092600435888,26.062097022848004,0.3474946269713067
exponential,5000,75,28,0.7714092600435591,26.062097022839247,0.3474946269711899
exponential,5000,75,29,0.7714092600435519,26.062097022837047,0.34749462697116057
exponential,5000,75,30,0.77140926004355,26.06209702283651,0.3474946269711534
exponential,5000,75,31,0.77140926004355,26.062097022836507,0.34749462697115335
