data_type,n_points,dimension,iteration,cost,error,normalized_error
student_t,16000,15,1,0.7101792099648495,3.770710887963955,0.25138072586426363
student_t,16000,15,2,0.6408014001378508,1.338945527099096,0.08926303513993972
student_t,16000,15,3,0.6164283667581789,0.3185968786012463,0.021239791906749753
student_t,16000,15,4,0.6117601500825458,0.1637870566657382,0.010919137111049212
student_t,16000,15,5,0.6081692342803677,0.07561874962066553,0.005041249974711035
student_t,16000,15,6,0.6080225862110407,0.07215372959968633,0.0048102486399790876
student_t,16000,15,7,0.6076615651134043,0.0652306829105759,0.004348712194038393
student_t,16000,15,8,0.607643720947931,0.064469011017925,0.004297934067861667
student_t,16000,15,9,0.6076410875656783,0.06377398880574266,0.0042515992537161765
student_t,16000,15,10,0.6076303352088056,0.0639420865690642,0.004262805771270946
student_t,16000,15,11,0.6076252469548932,0.06443455521108815,0.004295637014072543
student_t,16000,15,12,0.6076249855740334,0.06447848817467713,0.0042985658783118086
student_t,16000,15,13,0.6076249254516146,0.06449655757516913,0.004299770505011275
student_t,16000,15,14,0.6076248969160047,0.06450722578998032,0.004300481719332021
student_t,16000,15,15,0.6076248830679496,0.0645130977206009,0.004300873181373393
student_t,16000,15,16,0.6076248762547078,0.06451619190298745,0.004301079460199163
student_t,16000,15,17,0.6076248762014863,0.06451621674163394,0.004301081116108929
student_t,16000,15,18,0.6076248761881814,0.06451622295265007,0.004301081530176671
student_t,16000,15,19,0.607624876181529,0.06451622605831958,0.004301081737221305
student_t,16000,15,20,0.607624876179866,0.06451622683475779,0.004301081788983852
student_t,16000,15,21,0.6076248761794503,0.06451622702885972,0.00430108180192398
student_t,16000,15,22,0.6076248761792423,0.06451622712591742,0.004301081808394495
student_t,16000,15,23,0.6076248761791384,0.06451622717445932,0.00430108181163062
student_t,16000,15,24,0.6076248761790863,0.06451622719871732,0.004301081813247821
student_t,16000,15,25,0.6076248761790799,0.06451622720175605,0.0043010818134504025
student_t,16000,15,26,0.6076248761790767,0.06451622720325921,0.004301081813550613
student_t,16000,15,27,0.6076248761790762,0.06451622720344712,0.0043010818135631405
student_t,16000,15,28,0.6076248761790762,0.06451622720344792,0.004301081813563194
